AGENCY,TRANSACTION_DATE,Diff
Advisory Neighborhood Commission,2015-04-30 00:00:00+00:00,128.89
Advisory Neighborhood Commission,2015-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-06-30 00:00:00+00:00,89.155
Advisory Neighborhood Commission,2015-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-08-31 00:00:00+00:00,-116.155
Advisory Neighborhood Commission,2015-09-30 00:00:00+00:00,16.152500000000003
Advisory Neighborhood Commission,2015-10-31 00:00:00+00:00,22.5
Advisory Neighborhood Commission,2015-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-02-29 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-03-31 00:00:00+00:00,-162.62
Advisory Neighborhood Commission,2016-04-30 00:00:00+00:00,15.325000000000003
Advisory Neighborhood Commission,2016-05-31 00:00:00+00:00,-7.940000000000005
Advisory Neighborhood Commission,2016-06-30 00:00:00+00:00,-11.2
Advisory Neighborhood Commission,2016-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-08-31 00:00:00+00:00,46.6
Advisory Neighborhood Commission,2016-09-30 00:00:00+00:00,17.422000000000004
Advisory Neighborhood Commission,2016-10-31 00:00:00+00:00,-90.95500000000001
Advisory Neighborhood Commission,2016-11-30 00:00:00+00:00,5.815
Advisory Neighborhood Commission,2016-12-31 00:00:00+00:00,390.1366666666666
Advisory Neighborhood Commission,2017-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-03-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-04-30 00:00:00+00:00,-1039.2399999999998
Advisory Neighborhood Commission,2017-05-31 00:00:00+00:00,-50.629999999999995
Advisory Neighborhood Commission,2017-06-30 00:00:00+00:00,21.944999999999993
Advisory Neighborhood Commission,2017-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-08-31 00:00:00+00:00,30.0
Advisory Neighborhood Commission,2017-09-30 00:00:00+00:00,-24.633333333333336
Advisory Neighborhood Commission,2017-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-03-31 00:00:00+00:00,-20.692499999999995
Advisory Neighborhood Commission,2018-04-30 00:00:00+00:00,102.33500000000001
Advisory Neighborhood Commission,2018-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-06-30 00:00:00+00:00,-140.93
Advisory Neighborhood Commission,2018-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-08-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-09-30 00:00:00+00:00,103.81799999999994
Advisory Neighborhood Commission,2018-10-31 00:00:00+00:00,-356.02666666666664
Advisory Neighborhood Commission,2018-11-30 00:00:00+00:00,215.86
Advisory Neighborhood Commission,2018-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-01-31 00:00:00+00:00,-143.95
Advisory Neighborhood Commission,2019-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-03-31 00:00:00+00:00,52.349999999999994
Advisory Neighborhood Commission,2019-04-30 00:00:00+00:00,-66.71
Advisory Neighborhood Commission,2019-05-31 00:00:00+00:00,-62.5
Advisory Neighborhood Commission,2019-06-30 00:00:00+00:00,30.890000000000004
Advisory Neighborhood Commission,2019-07-31 00:00:00+00:00,25.619999999999997
Advisory Neighborhood Commission,2019-08-31 00:00:00+00:00,10.212499999999999
Advisory Neighborhood Commission,2019-09-30 00:00:00+00:00,103.66250000000002
Advisory Neighborhood Commission,2019-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2020-01-31 00:00:00+00:00,-155.73666666666668
Advisory Neighborhood Commission,2020-02-29 00:00:00+00:00,87.81
Alcoholic Beverage Regulation Administration,2009-01-31 00:00:00+00:00,-41.48600000000001
Alcoholic Beverage Regulation Administration,2009-02-28 00:00:00+00:00,133.545
Alcoholic Beverage Regulation Administration,2009-03-31 00:00:00+00:00,-194.08333333333334
Alcoholic Beverage Regulation Administration,2009-04-30 00:00:00+00:00,107.26666666666667
Alcoholic Beverage Regulation Administration,2009-05-31 00:00:00+00:00,-59.472857142857144
Alcoholic Beverage Regulation Administration,2009-06-30 00:00:00+00:00,59.14999999999998
Alcoholic Beverage Regulation Administration,2009-07-31 00:00:00+00:00,-30.135833333333334
Alcoholic Beverage Regulation Administration,2009-08-31 00:00:00+00:00,78.0
Alcoholic Beverage Regulation Administration,2009-09-30 00:00:00+00:00,-123.14285714285714
